sep=,
component_id,component_name,state,state_name,state_description,severity,countermeasure_id,countermeasure,downtime_estimate_min,skill_required,relevance_rank,effectiveness_pct,source_status
FILTER,濾網,FILTER_CLOG,濾網堵塞（壓差持續上升）,漆渣累積導致濾網阻塞，壓差持續上升超過 0.30 bar,medium,BACKWASH_FILTER,反洗濾網管路,20,technician,2,50.0,database_seed_reference
FILTER,濾網,FILTER_DAMAGE,濾網破損洩漏,濾網本體破損導致進出液流量不平衡,high,REPLACE_FILTER,更換濾網,30,operator,1,99.0,database_seed_reference
FILTER,濾網,FLOW_IMBALANCE,進出液流量不平衡,濾網或管路問題導致進出流量差異超過允許範圍,medium,REPLACE_FILTER,更換濾網,30,operator,1,80.0,database_seed_reference
AIR_COMPRESSOR,空壓機,AIR_PRESSURE_UNSTABLE,空氣壓力不穩/不足,壓力波動超過 ±10%，影響塗料霧化品質,medium,CALIBRATE_PRESSURE_VALVE,校正壓力調節閥,30,technician,1,85.0,database_seed_reference
AIR_COMPRESSOR,空壓機,AIR_MOISTURE_HIGH,壓縮空氣含水量過高,冷凝水未排放或乾燥機失效，油漆附著不良,medium,INSTALL_DRYER,加裝或更換空氣乾燥機與油水分離器,180,engineer,1,90.0,database_seed_reference
AIR_COMPRESSOR,空壓機,AIR_MOISTURE_HIGH,壓縮空氣含水量過高,冷凝水未排放或乾燥機失效，油漆附著不良,medium,DRAIN_CONDENSATE,排放壓縮空氣冷凝水,5,operator,2,60.0,database_seed_reference
AIR_COMPRESSOR,空壓機,AIR_LEAKAGE,漏氣（管路接頭）,管路接頭鬆脫或老化導致氣壓下降,medium,CALIBRATE_PRESSURE_VALVE,校正壓力調節閥,30,technician,1,70.0,database_seed_reference
SPRAY_WIDTH,噴幅,SPRAY_WIDTH_DEVIATION,噴幅偏離基準值,實際噴幅與目標值偏差超過 ±10mm,medium,ADJUST_TCP_Z,校正噴嘴與工件 TCP Z 軸距離,20,technician,1,80.0,database_seed_reference
SPRAY_WIDTH,噴幅,SPRAY_WIDTH_DEVIATION,噴幅偏離基準值,實際噴幅與目標值偏差超過 ±10mm,medium,ADJUST_FLOW_PRESSURE,調整塗料流量與空壓比例,10,operator,2,65.0,database_seed_reference
SPRAY_WIDTH,噴幅,SPRAY_WIDTH_DEVIATION,噴幅偏離基準值,實際噴幅與目標值偏差超過 ±10mm,medium,REPLACE_NOZZLE,更換磨損噴嘴,25,technician,3,75.0,database_seed_reference
SPRAY_WIDTH,噴幅,SPRAY_WIDTH_UNSTABLE,噴幅不均勻（批次內波動）,同批次內噴幅標準差過大，影響覆蓋均勻性,medium,CCD_PATH_CORRECTION,啟用 CCD 視覺即時路徑補正,0,engineer,1,70.0,database_seed_reference
QUALITY,品質（膜厚）,FILM_THICKNESS_OOC,膜厚超出規格範圍,膜厚低於 14.5um 或高於 15.5um（warning），超過 14.0/16.0 為 fault,high,ADJUST_SPEED_FLOW,調整噴塗速度與流量,10,operator,1,75.0,database_seed_reference
QUALITY,品質（膜厚）,FILM_THICKNESS_OOC,膜厚超出規格範圍,膜厚低於 14.5um 或高於 15.5um（warning），超過 14.0/16.0 為 fault,high,CALIBRATE_ENV_CONTROL,校正環境溫濕度控制系統,60,engineer,2,60.0,database_seed_reference
QUALITY,品質（膜厚）,FILM_THICKNESS_VARIATION,膜厚不均勻（批次標準差過高）,同批次膜厚標準差超過 0.3um，表示噴塗不穩定,medium,ADJUST_FLOW_PRESSURE,調整塗料流量與空壓比例,10,operator,1,70.0,database_seed_reference
QUALITY,品質（膜厚）,SURFACE_DEFECT,表面缺陷（橘皮/流掛/氣泡）,塗層表面出現橘皮、流掛或氣泡等外觀缺陷,high,ADJUST_FLOW_PRESSURE,調整塗料流量與空壓比例,10,operator,1,65.0,database_seed_reference
QUALITY,品質（膜厚）,SURFACE_DEFECT,表面缺陷（橘皮/流掛/氣泡）,塗層表面出現橘皮、流掛或氣泡等外觀缺陷,high,CALIBRATE_ENV_CONTROL,校正環境溫濕度控制系統,60,engineer,2,55.0,database_seed_reference
