time_group,service_class,function_name,purpose,input_parameters,output_summary,api_route,response_schema,db_tables_or_sources,ui_tab_or_component,cache_ttl_s,status,note
current,KPIService,get_kpi_summary,KPI 卡,line_id; date,"predicted_ok_rate, predicted_ng_pcs, utilization, avg_cycle_time_s",/api/v1/lines/{line_id}/kpi,kpi_summary.schema.json,ml_prediction_result; runtime_metric; part_history; qc_result,KPICards,30-120,defined_contract,Dashboard v15 direct workflow
current,ChartService,get_yield_comparison,良率趨勢昨日/今日並排,line_id; date,"hours, yesterday, today, target",/api/v1/lines/{line_id}/charts/yield-comparison,yield_comparison.schema.json,qc_result; part_history; batch_run; ml_prediction_result,YieldComparisonChart,120,defined_contract,Dashboard v15 direct workflow
current,ChartService,get_quality_trend,品質風險趨勢,line_id; timestep,past/current/forecast quality series,/api/v1/lines/{line_id}/charts/quality-trend,quality_trend.schema.json,qc_result; ml_prediction_result,QualityTrendChart,120,defined_contract,Dashboard v15 direct workflow
current,ChartService,get_utilization_trend,各站稼動率趨勢,line_id; timestep,utilization series,/api/v1/lines/{line_id}/charts/utilization-trend,utilization_trend.schema.json,runtime_metric,UtilizationTrendChart,120,defined_contract,Dashboard v15 direct workflow
current,ChartService,get_cycle_time_trend,Cycle Time 趨勢,line_id; timestep,cycle time series,/api/v1/lines/{line_id}/charts/cycle-time-trend,cycle_time_trend.schema.json,part_history,CycleTimeTrendChart,120,defined_contract,Dashboard v15 direct workflow
current,BatchService,list_batches_filtered,Batch 彙整表含風險/時段篩選,line_id; date; risk_levels; start_time; end_time,"{total, rows[]}",/api/v1/lines/{line_id}/batches,batches_filtered.schema.json,batch_run; qc_result; ml_prediction_result,BatchTable,120,defined_contract,Dashboard v15 direct workflow
current,AlertService,list_pending_alerts,待處理警示 Drawer,line_id,pending alerts,/api/v1/lines/{line_id}/alerts/pending,pending_alerts.schema.json,alert_log; diagnosis_result; ml_prediction_result; qc_result,PendingAlertsDrawer,30,defined_contract,Dashboard v15 direct workflow
current,AlertService,acknowledge_alert,標記警示已處理,alert_id; operator_id,acknowledged alert,/api/v1/alerts/{alert_id}/acknowledge,alert_acknowledge.schema.json,alert_log,PendingAlertsDrawer,0,defined_contract,Dashboard v15 direct workflow
current,AlertService,trigger_alert,由 diagnosis engine / ML 觸發警示,source_type; source_id; line_id,alert_log insert,/api/v1/alerts/trigger,alert_trigger.schema.json,alert_log; diagnosis_result; ml_prediction_result; qc_result,PendingAlertsDrawer,0,defined_contract,Dashboard v15 direct workflow
current,PredictionAccuracyService,get_prediction_accuracy,預測準確度 Drawer,line_id; date,predicted vs actual accuracy,/api/v1/lines/{line_id}/prediction-accuracy,prediction_accuracy.schema.json,qc_result; ml_prediction_result,PredictionAccuracyDrawer,120,defined_contract,Dashboard v15 direct workflow
current,DiagnosisService,get_diagnosis_timeline,診斷時序 timeline,line_id; category; start_time; end_time,diagnosis timeline,/api/v1/lines/{line_id}/diagnosis/timeline,diagnosis_timeline.schema.json,diagnosis_result; filter_threshold; nozzle_threshold; process_threshold,TimeSeriesSlider,30,defined_contract,Dashboard v15 direct workflow
current,RiskService,get_station_risk_detail,站點風險詳情,line_id,risk detail,/api/v1/lines/{line_id}/risk-detail,station_risk_detail.schema.json,diagnosis_result; ml_prediction_result; alert_log,StationRiskDetail,30,defined_contract,Dashboard v15 direct workflow
future,FeatureService,get_ml_feature_input,取得 ML input features,part_uuid,feature payload,/api/v1/parts/{part_uuid}/ml-features,ml_feature_input.schema.json,ml_feature_snapshot,FutureService,0,pending_future_model,Dashboard v15 direct workflow
future,PredictionService,get_latest_prediction,取得最新預測結果,part_uuid,prediction result,/api/v1/parts/{part_uuid}/prediction/latest,latest_prediction.schema.json,ml_prediction_result,PredictionService,30,pending_future_model,Dashboard v15 direct workflow
future,OmniverseService,get_omniverse_validation_result,取得 Omniverse 驗證結果,part_uuid,validation result,/api/v1/parts/{part_uuid}/omniverse/validation,omniverse_validation.schema.json,omniverse_sync_log; trajectory_result,OmniverseValidation,120,pending_omniverse_binding,Dashboard v15 direct workflow
